Country,Total_MismanagedPlasticWaste_2010_millionT,Total_MismanagedPlasticWaste_2019_millionT,,Year,Global_plastics_production_million_tonnes,,country_name,total_msw_total_msw_generated_tons_year,population_population_number_of_people
Albania,29705,69833,,1950,2000000,,Aruba,88132.0167,103187
Algeria,520555,764578,,1951,2000000,,Afghanistan,5628525.37,34656032
Angola,62528,236946,,1952,2000000,,Angola,4213643.585,25096150
Anguilla,52,0,,1953,3000000,,Albania,1087446.75,2854191
Antigua and Barbuda,1253,627,,1954,3000000,,Andorra,43000,82431
Argentina,157777,465808,,1955,4000000,,United Arab Emirates,5617682,9770529
Aruba,372,0,,1956,5000000,,Argentina,17910550,42981516
Australia,13889,5266,,1957,5000000,,Armenia,492800,2906220
Bahamas,1333,2212,,1958,6000000,,American Samoa,18989.49,55599
Bahrain,4376,1043,,1959,7000000,,Antigua and Barbuda,30585,96777
Bangladesh,787327,1021990,,1960,8000000,,Australia,13345000,23789338
Barbados,3483,872,,1961,9000000,,Austria,5219715.5,8877067
Belgium,2743,2284,,1962,11000000,,Azerbaijan,2930349,9649341
Belize,3892,6021,,1963,13000000,,Burundi,1872016,6741569
Benin,43015,133335,,1964,15000000,,Belgium,4765883,11484055
Bermuda,123,0,,1965,17000000,,Benin,685936.01,5521763
Bosnia and Herzegovina,12955,55551,,1966,20000000,,Burkina Faso,2575251.11,18110624
Brazil,471404,3296700,,1967,23000000,,Bangladesh,14778497.33,155727056
British Virgin Islands,55,0,,1968,27000000,,Bulgaria,2859190,7025037
Brunei,93,692,,1969,32000000,,Bahrain,951942.9695,1425171
Bulgaria,18739,3117,,1970,35000000,,"Bahamas, The",264000,386838
Burkina Faso,0,317298,,1971,38000000,,Bosnia and Herzegovina,1248718,3535961
Cambodia,29686,247495,,1972,44000000,,Belarus,4280000,9489616
Cameroon,27713,578798,,1973,51000000,,Belize,101378.8303,359288
Canada,7959,23587,,1974,52000000,,Bermuda,82000,64798
Cape Verde,9347,3568,,1975,46000000,,Bolivia,2219052,10724705
Cayman Islands,95,0,,1976,54000000,,Brazil,79069584,208494896
Channel Islands,281,0,,1977,59000000,,Barbados,174815.4444,280601
Chile,21754,30767,,1978,64000000,,Brunei Darussalam,216253.156,423196
China,8819717,12272200,,1979,71000000,,Bhutan,111314.05,686958
Christmas Island,3,0,,1980,70000000,,Botswana,210854.4426,2014866
Cocos Islands,1,0,,1981,72000000,,Central African Republic,1105983,4515392
Colombia,92173,85454,,1982,73000000,,Canada,25103034,35544564
Comoros,58032,59158,,1983,80000000,,Switzerland,6079556,8574832
Congo,16766,65291,,1984,86000000,,Channel Islands,178933,164541
Cook Islands,416,5751,,1985,90000000,,Chile,6517000,16829442
Costa Rica,42090,291614,,1986,96000000,,China,395081376,1400050048
Cote d'Ivoire,194558,17544,,1987,104000000,,Côte d’Ivoire,4440814.27,20401332
Croatia,16461,0,,1988,110000000,,Cameroon,3270616.59,21655716
Cuba,90630,0,,1989,114000000,,"Congo, Dem. Rep.",14385226.02,78736152
Curacao,268,0,,1990,120000000,,"Congo, Rep.",451200,2648507
Cyprus,1821,837,,1991,124000000,,Colombia,12150120,46406648
Democratic Republic of Congo,15208,1369730,,1992,132000000,,Comoros,91013,777424
Denmark,1791,390,,1993,137000000,,Cabo Verde,132555,513979
Djibouti,17324,10289,,1994,151000000,,Costa Rica,1460000,4757575
Dominica,783,1082,,1995,156000000,,Cuba,2692691.98,11303687
Dominican Republic,118226,194018,,1996,168000000,,Curacao,24703.8132,153822
Ecuador,109383,108797,,1997,180000000,,Cayman Islands,60000,59172
Egypt,967012,1435510,,1998,188000000,,Cyprus,769485.125,1198575
El Salvador,118732,21693,,1999,202000000,,Czech Republic,5334854.5,10669709
Equatorial Guinea,5977,9403,,2000,213000000,,Germany,50627876,83132800
Eritrea,16259,84088,,2001,218000000,,Djibouti,114997.249,746221
Estonia,5979,600,,2002,231000000,,Dominica,13176,72400
Faeroe Islands,93,0,,2003,241000000,,Denmark,4910858.5,5818553
Falkland Islands,5,0,,2004,256000000,,Dominican Republic,4063910,10528394
Fiji,49257,3858,,2005,263000000,,Algeria,12378740,40606052
Finland,4985,2621,,2006,280000000,,Ecuador,5297211.143,16144368
France,24109,27780,,2007,295000000,,"Egypt, Arab Rep.",21000000,87813256
French Guiana,2360,126,,2008,281000000,,Eritrea,726957.37,4474690
French Polynesia,1286,0,,2009,288000000,,Spain,22408548,47076780
Gabon,6087,5991,,2010,313000000,,Estonia,489511.7188,1326590
Gambia,19616,35095,,2011,325000000,,Ethiopia,6532786.97,99873032
Georgia,14472,307,,2012,338000000,,Finland,3124497.75,5520314
Germany,31239,50676,,2013,352000000,,Fiji,189389.594,867086
Ghana,91571,520002,,2014,367000000,,France,36748820,67059888
Gibraltar,65,0,,2015,381000000,,Faeroe Islands,61000,48842
Greece,14229,4506,,,,,"Micronesia, Fed. Sts.",26039.57,104937
Greenland,105,0,,,,,Gabon,238102.31,1086137
Grenada,2248,1357,,,,,United Kingdom,30771140,66460344
Guadeloupe,6564,162,,,,,Georgia,800000,3717100
Guam,393,0,,,,,Ghana,3538274.978,21542008
Guatemala,91563,311003,,,,,Gibraltar,16954,33623
Guernsey,103,0,,,,,Guinea,596911,8132552
Guinea,18514,147997,,,,,"Gambia, The",193440.54,1311349
Guinea-Bissau,20240,20465,,,,,Guinea-Bissau,289514,1770526
Guyana,42002,27565,,,,,Equatorial Guinea,198443.06,1221490
